semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;80-95;9;10;5;4;0,6785714285714286;0,6428571428571429;0,6923076923076923;0,6666666666666666;iforest;duracao
2;80-95;7;10;7;4;0,6071428571428571;0,5;0,6363636363636364;0,56;iforest;duracao
3;80-95;11;13;3;1;0,8571428571428571;0,7857142857142857;0,9166666666666666;0,8461538461538461;iforest;duracao
4;80-95;11;13;3;1;0,8571428571428571;0,7857142857142857;0,9166666666666666;0,8461538461538461;iforest;duracao
5;80-95;6;13;8;1;0,6785714285714286;0,42857142857142855;0,8571428571428571;0,5714285714285714;iforest;duracao
6;80-95;6;14;8;0;0,7142857142857143;0,42857142857142855;1,0;0,6;iforest;duracao
7;80-95;9;13;5;1;0,7857142857142857;0,6428571428571429;0,9;0,75;iforest;duracao
8;80-95;8;13;6;1;0,75;0,5714285714285714;0,8888888888888888;0,6956521739130435;iforest;duracao
