semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;20-95;14;1;0;13;0,5357142857142857;1,0;0,5185185185185185;0,6829268292682926;rce
2;20-95;14;5;0;9;0,6785714285714286;1,0;0,6086956521739131;0,7567567567567568;rce
3;20-95;14;11;0;3;0,8928571428571429;1,0;0,8235294117647058;0,9032258064516129;rce
4;20-95;14;12;0;2;0,9285714285714286;1,0;0,875;0,9333333333333333;rce
5;20-95;14;11;0;3;0,8928571428571429;1,0;0,8235294117647058;0,9032258064516129;rce
6;20-95;14;13;0;1;0,9642857142857143;1,0;0,9333333333333333;0,9655172413793104;rce
7;20-95;14;12;0;2;0,9285714285714286;1,0;0,875;0,9333333333333333;rce
8;20-95;14;13;0;1;0,9642857142857143;1,0;0,9333333333333333;0,9655172413793104;rce
