semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;20-95;14;0;0;14;0,5;1,0;0,5;0,6666666666666666;ocsvm
2;20-95;14;1;0;13;0,5357142857142857;1,0;0,5185185185185185;0,6829268292682926;ocsvm
3;20-95;14;5;0;9;0,6785714285714286;1,0;0,6086956521739131;0,7567567567567568;ocsvm
4;20-95;14;5;0;9;0,6785714285714286;1,0;0,6086956521739131;0,7567567567567568;ocsvm
5;20-95;14;6;0;8;0,7142857142857143;1,0;0,6363636363636364;0,7777777777777778;ocsvm
6;20-95;14;6;0;8;0,7142857142857143;1,0;0,6363636363636364;0,7777777777777778;ocsvm
7;20-95;14;6;0;8;0,7142857142857143;1,0;0,6363636363636364;0,7777777777777778;ocsvm
8;20-95;14;7;0;7;0,75;1,0;0,6666666666666666;0,8;ocsvm
