semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-35;13;7;1;7;0,7142857142857143;0,9285714285714286;0,65;0,7647058823529412;rce;dfreq
2;20-35;8;13;6;1;0,75;0,5714285714285714;0,8888888888888888;0,6956521739130435;rce;dfreq
3;20-35;8;10;6;4;0,6428571428571429;0,5714285714285714;0,6666666666666666;0,6153846153846153;rce;dfreq
4;20-35;8;12;6;2;0,7142857142857143;0,5714285714285714;0,8;0,6666666666666666;rce;dfreq
5;20-35;8;13;6;1;0,75;0,5714285714285714;0,8888888888888888;0,6956521739130435;rce;dfreq
6;20-35;9;12;5;2;0,75;0,6428571428571429;0,8181818181818182;0,7200000000000001;rce;dfreq
7;20-35;7;14;7;0;0,75;0,5;1,0;0,6666666666666666;rce;dfreq
8;20-35;5;14;9;0;0,6785714285714286;0,35714285714285715;1,0;0,5263157894736842;rce;dfreq
