semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;60-75;10;7;4;7;0,6071428571428571;0,7142857142857143;0,5882352941176471;0,6451612903225806;rce;duracao
2;60-75;8;12;6;2;0,7142857142857143;0,5714285714285714;0,8;0,6666666666666666;rce;duracao
3;60-75;9;13;5;1;0,7857142857142857;0,6428571428571429;0,9;0,75;rce;duracao
4;60-75;11;12;3;2;0,8214285714285714;0,7857142857142857;0,8461538461538461;0,8148148148148148;rce;duracao
5;60-75;11;13;3;1;0,8571428571428571;0,7857142857142857;0,9166666666666666;0,8461538461538461;rce;duracao
6;60-75;11;13;3;1;0,8571428571428571;0,7857142857142857;0,9166666666666666;0,8461538461538461;rce;duracao
7;60-75;11;13;3;1;0,8571428571428571;0,7857142857142857;0,9166666666666666;0,8461538461538461;rce;duracao
8;60-75;11;13;3;1;0,8571428571428571;0,7857142857142857;0,9166666666666666;0,8461538461538461;rce;duracao
