semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;60-75;5;13;9;1;0,6428571428571429;0,35714285714285715;0,8333333333333334;0,5;iforest;frequencia
2;60-75;3;14;11;0;0,6071428571428571;0,21428571428571427;1,0;0,35294117647058826;iforest;frequencia
3;60-75;7;13;7;1;0,7142857142857143;0,5;0,875;0,6363636363636364;iforest;frequencia
4;60-75;6;14;8;0;0,7142857142857143;0,42857142857142855;1,0;0,6;iforest;frequencia
5;60-75;8;14;6;0;0,7857142857142857;0,5714285714285714;1,0;0,7272727272727273;iforest;frequencia
6;60-75;7;13;7;1;0,7142857142857143;0,5;0,875;0,6363636363636364;iforest;frequencia
7;60-75;9;13;5;1;0,7857142857142857;0,6428571428571429;0,9;0,75;iforest;frequencia
8;60-75;11;13;3;1;0,8571428571428571;0,7857142857142857;0,9166666666666666;0,8461538461538461;iforest;frequencia
