semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;40-55;10;7;4;7;0,6071428571428571;0,7142857142857143;0,5882352941176471;0,6451612903225806;rce;dfreq
2;40-55;8;13;6;1;0,75;0,5714285714285714;0,8888888888888888;0,6956521739130435;rce;dfreq
3;40-55;12;10;2;4;0,7857142857142857;0,8571428571428571;0,75;0,7999999999999999;rce;dfreq
4;40-55;12;12;2;2;0,8571428571428571;0,8571428571428571;0,8571428571428571;0,8571428571428571;rce;dfreq
5;40-55;11;13;3;1;0,8571428571428571;0,7857142857142857;0,9166666666666666;0,8461538461538461;rce;dfreq
6;40-55;12;12;2;2;0,8571428571428571;0,8571428571428571;0,8571428571428571;0,8571428571428571;rce;dfreq
7;40-55;9;14;5;0;0,8214285714285714;0,6428571428571429;1,0;0,782608695652174;rce;dfreq
8;40-55;5;14;9;0;0,6785714285714286;0,35714285714285715;1,0;0,5263157894736842;rce;dfreq
