vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade;semana
0;14;12;2;0,5;0,0;0,0;;iforest;20-35;Eating;5
1;14;11;2;0,5357142857142857;0,08333333333333333;0,3333333333333333;0,13333333333333333;iforest;20-35;Eating;6
1;14;11;2;0,5357142857142857;0,08333333333333333;0,3333333333333333;0,13333333333333333;iforest;20-35;Eating;7
1;14;11;2;0,5357142857142857;0,08333333333333333;0,3333333333333333;0,13333333333333333;iforest;20-35;Eating;8
4;10;8;6;0,5;0,3333333333333333;0,4;0,3636363636363636;rce;20-35;Eating;1
0;14;12;2;0,5;0,0;0,0;;rce;20-35;Eating;2
1;15;11;1;0,5714285714285714;0,08333333333333333;0,5;0,14285714285714285;rce;20-35;Eating;3
2;14;10;2;0,5714285714285714;0,16666666666666666;0,5;0,25;rce;20-35;Eating;4
2;15;10;1;0,6071428571428571;0,16666666666666666;0,6666666666666666;0,26666666666666666;rce;20-35;Eating;5
2;13;10;3;0,5357142857142857;0,16666666666666666;0,4;0,23529411764705882;rce;20-35;Eating;6
2;15;10;1;0,6071428571428571;0,16666666666666666;0,6666666666666666;0,26666666666666666;rce;20-35;Eating;7
1;15;11;1;0,5714285714285714;0,08333333333333333;0,5;0,14285714285714285;rce;20-35;Eating;8
9;3;2;14;0,42857142857142855;0,8181818181818182;0,391304347826087;0,5294117647058824;ocsvm;20-35;MealPreparation;1
7;7;4;10;0,5;0,6363636363636364;0,4117647058823529;0,5;ocsvm;20-35;MealPreparation;2
7;11;4;6;0,6428571428571429;0,6363636363636364;0,5384615384615384;0,5833333333333334;ocsvm;20-35;MealPreparation;3
6;8;5;9;0,5;0,5454545454545454;0,4;0,4615384615384615;ocsvm;20-35;MealPreparation;4
6;14;5;3;0,7142857142857143;0,5454545454545454;0,6666666666666666;0,6;ocsvm;20-35;MealPreparation;5
6;12;5;5;0,6428571428571429;0,5454545454545454;0,5454545454545454;0,5454545454545454;ocsvm;20-35;MealPreparation;6
6;14;5;3;0,7142857142857143;0,5454545454545454;0,6666666666666666;0,6;ocsvm;20-35;MealPreparation;7
6;14;5;3;0,7142857142857143;0,5454545454545454;0,6666666666666666;0,6;ocsvm;20-35;MealPreparation;8
4;16;7;1;0,7142857142857143;0,36363636363636365;0,8;0,5000000000000001;lof;20-35;MealPreparation;1
4;16;7;1;0,7142857142857143;0,36363636363636365;0,8;0,5000000000000001;lof;20-35;MealPreparation;2
4;15;7;2;0,6785714285714286;0,36363636363636365;0,6666666666666666;0,4705882352941177;lof;20-35;MealPreparation;3
4;15;7;2;0,6785714285714286;0,36363636363636365;0,6666666666666666;0,4705882352941177;lof;20-35;MealPreparation;4
2;17;9;0;0,6785714285714286;0,18181818181818182;1,0;0,3076923076923077;lof;20-35;MealPreparation;5
3;15;8;2;0,6428571428571429;0,2727272727272727;0,6;0,37499999999999994;lof;20-35;MealPreparation;6
3;15;8;2;0,6428571428571429;0,2727272727272727;0,6;0,37499999999999994;lof;20-35;MealPreparation;7
2;14;9;3;0,5714285714285714;0,18181818181818182;0,4;0,25000000000000006;lof;20-35;MealPreparation;8
4;9;7;8;0,4642857142857143;0,36363636363636365;0,3333333333333333;0,34782608695652173;iforest;20-35;MealPreparation;1
3;9;8;8;0,42857142857142855;0,2727272727272727;0,2727272727272727;0,2727272727272727;iforest;20-35;MealPreparation;2
5;8;6;9;0,4642857142857143;0,45454545454545453;0,35714285714285715;0,4;iforest;20-35;MealPreparation;3
5;9;6;8;0,5;0,45454545454545453;0,38461538461538464;0,41666666666666663;iforest;20-35;MealPreparation;4
4;13;7;4;0,6071428571428571;0,36363636363636365;0,5;0,4210526315789474;iforest;20-35;MealPreparation;5
1;14;10;3;0,5357142857142857;0,09090909090909091;0,25;0,13333333333333333;iforest;20-35;MealPreparation;6
1;16;10;1;0,6071428571428571;0,09090909090909091;0,5;0,15384615384615385;iforest;20-35;MealPreparation;7
1;16;10;1;0,6071428571428571;0,09090909090909091;0,5;0,15384615384615385;iforest;20-35;MealPreparation;8
10;4;1;13;0,5;0,9090909090909091;0,43478260869565216;0,5882352941176471;rce;20-35;MealPreparation;1
4;9;7;8;0,4642857142857143;0,36363636363636365;0,3333333333333333;0,34782608695652173;rce;20-35;MealPreparation;2
4;9;7;8;0,4642857142857143;0,36363636363636365;0,3333333333333333;0,34782608695652173;rce;20-35;MealPreparation;3
4;11;7;6;0,5357142857142857;0,36363636363636365;0,4;0,380952380952381;rce;20-35;MealPreparation;4
6;12;5;5;0,6428571428571429;0,5454545454545454;0,5454545454545454;0,5454545454545454;rce;20-35;MealPreparation;5
3;15;8;2;0,6428571428571429;0,2727272727272727;0,6;0,37499999999999994;rce;20-35;MealPreparation;6
6;16;5;1;0,7857142857142857;0,5454545454545454;0,8571428571428571;0,6666666666666665;rce;20-35;MealPreparation;7
3;15;8;2;0,6428571428571429;0,2727272727272727;0,6;0,37499999999999994;rce;20-35;MealPreparation;8
11;1;0;16;0,42857142857142855;1,0;0,4074074074074074;0,5789473684210525;ocsvm;20-35;Relax;1
11;8;0;9;0,6785714285714286;1,0;0,55;0,7096774193548387;ocsvm;20-35;Relax;2
8;10;3;7;0,6428571428571429;0,7272727272727273;0,5333333333333333;0,6153846153846153;ocsvm;20-35;Relax;3
8;12;3;5;0,7142857142857143;0,7272727272727273;0,6153846153846154;0,6666666666666667;ocsvm;20-35;Relax;4
7;12;4;5;0,6785714285714286;0,6363636363636364;0,5833333333333334;0,6086956521739131;ocsvm;20-35;Relax;5
7;13;4;4;0,7142857142857143;0,6363636363636364;0,6363636363636364;0,6363636363636364;ocsvm;20-35;Relax;6
7;13;4;4;0,7142857142857143;0,6363636363636364;0,6363636363636364;0,6363636363636364;ocsvm;20-35;Relax;7
7;13;4;4;0,7142857142857143;0,6363636363636364;0,6363636363636364;0,6363636363636364;ocsvm;20-35;Relax;8
6;16;5;1;0,7857142857142857;0,5454545454545454;0,8571428571428571;0,6666666666666665;lof;20-35;Relax;1
6;14;5;3;0,7142857142857143;0,5454545454545454;0,6666666666666666;0,6;lof;20-35;Relax;2
6;16;5;1;0,7857142857142857;0,5454545454545454;0,8571428571428571;0,6666666666666665;lof;20-35;Relax;3
6;16;5;1;0,7857142857142857;0,5454545454545454;0,8571428571428571;0,6666666666666665;lof;20-35;Relax;4
6;16;5;1;0,7857142857142857;0,5454545454545454;0,8571428571428571;0,6666666666666665;lof;20-35;Relax;5
7;16;4;1;0,8214285714285714;0,6363636363636364;0,875;0,7368421052631579;lof;20-35;Relax;6
7;14;4;3;0,75;0,6363636363636364;0,7;0,6666666666666666;lof;20-35;Relax;7
7;14;4;3;0,75;0,6363636363636364;0,7;0,6666666666666666;lof;20-35;Relax;8
1;16;10;1;0,6071428571428571;0,09090909090909091;0,5;0,15384615384615385;iforest;20-35;Relax;1
9;10;2;7;0,6785714285714286;0,8181818181818182;0,5625;0,6666666666666666;iforest;20-35;Relax;2
9;12;2;5;0,75;0,8181818181818182;0,6428571428571429;0,7200000000000001;iforest;20-35;Relax;3
9;11;2;6;0,7142857142857143;0,8181818181818182;0,6;0,6923076923076923;iforest;20-35;Relax;4
9;11;2;6;0,7142857142857143;0,8181818181818182;0,6;0,6923076923076923;iforest;20-35;Relax;5
8;11;3;6;0,6785714285714286;0,7272727272727273;0,5714285714285714;0,64;iforest;20-35;Relax;6
8;11;3;6;0,6785714285714286;0,7272727272727273;0,5714285714285714;0,64;iforest;20-35;Relax;7
9;10;2;7;0,6785714285714286;0,8181818181818182;0,5625;0,6666666666666666;iforest;20-35;Relax;8
11;1;0;16;0,42857142857142855;1,0;0,4074074074074074;0,5789473684210525;rce;20-35;Relax;1
10;10;1;7;0,7142857142857143;0,9090909090909091;0,5882352941176471;0,7142857142857143;rce;20-35;Relax;2
10;12;1;5;0,7857142857142857;0,9090909090909091;0,6666666666666666;0,7692307692307692;rce;20-35;Relax;3
9;12;2;5;0,75;0,8181818181818182;0,6428571428571429;0,7200000000000001;rce;20-35;Relax;4
9;12;2;5;0,75;0,8181818181818182;0,6428571428571429;0,7200000000000001;rce;20-35;Relax;5
10;12;1;5;0,7857142857142857;0,9090909090909091;0,6666666666666666;0,7692307692307692;rce;20-35;Relax;6
10;12;1;5;0,7857142857142857;0,9090909090909091;0,6666666666666666;0,7692307692307692;rce;20-35;Relax;7
9;12;2;5;0,75;0,8181818181818182;0,6428571428571429;0,7200000000000001;rce;20-35;Relax;8
9;8;3;8;0,6071428571428571;0,75;0,5294117647058824;0,6206896551724139;ocsvm;20-35;Sleeping;1
9;10;3;6;0,6785714285714286;0,75;0,6;0,6666666666666665;ocsvm;20-35;Sleeping;2
9;14;3;2;0,8214285714285714;0,75;0,8181818181818182;0,7826086956521738;ocsvm;20-35;Sleeping;3
9;14;3;2;0,8214285714285714;0,75;0,8181818181818182;0,7826086956521738;ocsvm;20-35;Sleeping;4
10;12;2;4;0,7857142857142857;0,8333333333333334;0,7142857142857143;0,7692307692307692;ocsvm;20-35;Sleeping;5
9;12;3;4;0,75;0,75;0,6923076923076923;0,7199999999999999;ocsvm;20-35;Sleeping;6
8;14;4;2;0,7857142857142857;0,6666666666666666;0,8;0,7272727272727272;ocsvm;20-35;Sleeping;7
8;14;4;2;0,7857142857142857;0,6666666666666666;0,8;0,7272727272727272;ocsvm;20-35;Sleeping;8
0;15;12;1;0,5357142857142857;0,0;0,0;;lof;20-35;Sleeping;1
2;15;10;1;0,6071428571428571;0,16666666666666666;0,6666666666666666;0,26666666666666666;lof;20-35;Sleeping;2
2;15;10;1;0,6071428571428571;0,16666666666666666;0,6666666666666666;0,26666666666666666;lof;20-35;Sleeping;3
2;15;10;1;0,6071428571428571;0,16666666666666666;0,6666666666666666;0,26666666666666666;lof;20-35;Sleeping;4
