semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;80-95;4;11;10;3;0,5357142857142857;0,2857142857142857;0,5714285714285714;0,38095238095238093;iforest
2;80-95;9;13;5;1;0,7857142857142857;0,6428571428571429;0,9;0,75;iforest
3;80-95;14;13;0;1;0,9642857142857143;1,0;0,9333333333333333;0,9655172413793104;iforest
4;80-95;13;13;1;1;0,9285714285714286;0,9285714285714286;0,9285714285714286;0,9285714285714286;iforest
5;80-95;13;14;1;0;0,9642857142857143;0,9285714285714286;1,0;0,962962962962963;iforest
6;80-95;13;13;1;1;0,9285714285714286;0,9285714285714286;0,9285714285714286;0,9285714285714286;iforest
7;80-95;12;13;2;1;0,8928571428571429;0,8571428571428571;0,9230769230769231;0,888888888888889;iforest
8;80-95;13;13;1;1;0,9285714285714286;0,9285714285714286;0,9285714285714286;0,9285714285714286;iforest
