semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-35;7;10;7;4;0,6071428571428571;0,5;0,6363636363636364;0,56;rce;frequencia
2;20-35;9;12;5;2;0,75;0,6428571428571429;0,8181818181818182;0,7200000000000001;rce;frequencia
3;20-35;5;12;9;2;0,6071428571428571;0,35714285714285715;0,7142857142857143;0,4761904761904762;rce;frequencia
4;20-35;5;12;9;2;0,6071428571428571;0,35714285714285715;0,7142857142857143;0,4761904761904762;rce;frequencia
5;20-35;6;12;8;2;0,6428571428571429;0,42857142857142855;0,75;0,5454545454545454;rce;frequencia
6;20-35;9;13;5;1;0,7857142857142857;0,6428571428571429;0,9;0,75;rce;frequencia
7;20-35;9;13;5;1;0,7857142857142857;0,6428571428571429;0,9;0,75;rce;frequencia
8;20-35;8;13;6;1;0,75;0,5714285714285714;0,8888888888888888;0,6956521739130435;rce;frequencia
