semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-35;14;3;0;11;0,6071428571428571;1,0;0,56;0,717948717948718;ocsvm;frequencia
2;20-35;12;5;2;9;0,6071428571428571;0,8571428571428571;0,5714285714285714;0,6857142857142857;ocsvm;frequencia
3;20-35;12;7;2;7;0,6785714285714286;0,8571428571428571;0,631578947368421;0,7272727272727273;ocsvm;frequencia
4;20-35;12;7;2;7;0,6785714285714286;0,8571428571428571;0,631578947368421;0,7272727272727273;ocsvm;frequencia
5;20-35;11;7;3;7;0,6428571428571429;0,7857142857142857;0,6111111111111112;0,6875000000000001;ocsvm;frequencia
6;20-35;11;7;3;7;0,6428571428571429;0,7857142857142857;0,6111111111111112;0,6875000000000001;ocsvm;frequencia
7;20-35;11;8;3;6;0,6785714285714286;0,7857142857142857;0,6470588235294118;0,7096774193548386;ocsvm;frequencia
8;20-35;11;8;3;6;0,6785714285714286;0,7857142857142857;0,6470588235294118;0,7096774193548386;ocsvm;frequencia
