semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-95;13;0;1;14;0,4642857142857143;0,9285714285714286;0,48148148148148145;0,6341463414634146;ocsvm;duracao
2;20-95;13;1;1;13;0,5;0,9285714285714286;0,5;0,65;ocsvm;duracao
3;20-95;12;3;2;11;0,5357142857142857;0,8571428571428571;0,5217391304347826;0,6486486486486486;ocsvm;duracao
4;20-95;12;3;2;11;0,5357142857142857;0,8571428571428571;0,5217391304347826;0,6486486486486486;ocsvm;duracao
5;20-95;12;4;2;10;0,5714285714285714;0,8571428571428571;0,5454545454545454;0,6666666666666665;ocsvm;duracao
6;20-95;12;5;2;9;0,6071428571428571;0,8571428571428571;0,5714285714285714;0,6857142857142857;ocsvm;duracao
7;20-95;12;5;2;9;0,6071428571428571;0,8571428571428571;0,5714285714285714;0,6857142857142857;ocsvm;duracao
8;20-95;12;5;2;9;0,6071428571428571;0,8571428571428571;0,5714285714285714;0,6857142857142857;ocsvm;duracao
