semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;20-35;9;14;5;0;0,8214285714285714;0,6428571428571429;1,0;0,782608695652174;lof
2;20-35;6;13;8;1;0,6785714285714286;0,42857142857142855;0,8571428571428571;0,5714285714285714;lof
3;20-35;4;14;10;0;0,6428571428571429;0,2857142857142857;1,0;0,4444444444444445;lof
4;20-35;5;13;9;1;0,6428571428571429;0,35714285714285715;0,8333333333333334;0,5;lof
5;20-35;6;13;8;1;0,6785714285714286;0,42857142857142855;0,8571428571428571;0,5714285714285714;lof
6;20-35;9;13;5;1;0,7857142857142857;0,6428571428571429;0,9;0,75;lof
7;20-35;8;13;6;1;0,75;0,5714285714285714;0,8888888888888888;0,6956521739130435;lof
8;20-35;9;13;5;1;0,7857142857142857;0,6428571428571429;0,9;0,75;lof
