semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;40-55;0;14;14;0;0,5;0,0;0,0;0,0;lof;duracao
2;40-55;4;13;10;1;0,6071428571428571;0,2857142857142857;0,8;0,4210526315789473;lof;duracao
3;40-55;4;13;10;1;0,6071428571428571;0,2857142857142857;0,8;0,4210526315789473;lof;duracao
4;40-55;4;13;10;1;0,6071428571428571;0,2857142857142857;0,8;0,4210526315789473;lof;duracao
5;40-55;3;13;11;1;0,5714285714285714;0,21428571428571427;0,75;0,3333333333333333;lof;duracao
6;40-55;3;13;11;1;0,5714285714285714;0,21428571428571427;0,75;0,3333333333333333;lof;duracao
7;40-55;3;13;11;1;0,5714285714285714;0,21428571428571427;0,75;0,3333333333333333;lof;duracao
8;40-55;3;13;11;1;0,5714285714285714;0,21428571428571427;0,75;0,3333333333333333;lof;duracao
