semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-35;10;12;4;2;0,7857142857142857;0,7142857142857143;0,8333333333333334;0,7692307692307692;lof;dfreq
2;20-35;9;13;5;1;0,7857142857142857;0,6428571428571429;0,9;0,75;lof;dfreq
3;20-35;9;14;5;0;0,8214285714285714;0,6428571428571429;1,0;0,782608695652174;lof;dfreq
4;20-35;10;13;4;1;0,8214285714285714;0,7142857142857143;0,9090909090909091;0,8;lof;dfreq
5;20-35;10;12;4;2;0,7857142857142857;0,7142857142857143;0,8333333333333334;0,7692307692307692;lof;dfreq
6;20-35;10;13;4;1;0,8214285714285714;0,7142857142857143;0,9090909090909091;0,8;lof;dfreq
7;20-35;11;12;3;2;0,8214285714285714;0,7857142857142857;0,8461538461538461;0,8148148148148148;lof;dfreq
8;20-35;10;11;4;3;0,75;0,7142857142857143;0,7692307692307693;0,7407407407407408;lof;dfreq
