semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;40-55;3;13;11;1;0,5714285714285714;0,21428571428571427;0,75;0,3333333333333333;iforest;frequencia
2;40-55;4;14;10;0;0,6428571428571429;0,2857142857142857;1,0;0,4444444444444445;iforest;frequencia
3;40-55;5;13;9;1;0,6428571428571429;0,35714285714285715;0,8333333333333334;0,5;iforest;frequencia
4;40-55;3;14;11;0;0,6071428571428571;0,21428571428571427;1,0;0,35294117647058826;iforest;frequencia
5;40-55;4;14;10;0;0,6428571428571429;0,2857142857142857;1,0;0,4444444444444445;iforest;frequencia
6;40-55;5;13;9;1;0,6428571428571429;0,35714285714285715;0,8333333333333334;0,5;iforest;frequencia
7;40-55;8;13;6;1;0,75;0,5714285714285714;0,8888888888888888;0,6956521739130435;iforest;frequencia
8;40-55;8;13;6;1;0,75;0,5714285714285714;0,8888888888888888;0,6956521739130435;iforest;frequencia
