semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-95;9;7;5;7;0,5714285714285714;0,6428571428571429;0,5625;0,6000000000000001;rce;duracao
2;20-95;9;12;5;2;0,75;0,6428571428571429;0,8181818181818182;0,7200000000000001;rce;duracao
3;20-95;7;13;7;1;0,7142857142857143;0,5;0,875;0,6363636363636364;rce;duracao
4;20-95;7;12;7;2;0,6785714285714286;0,5;0,7777777777777778;0,6086956521739131;rce;duracao
5;20-95;8;13;6;1;0,75;0,5714285714285714;0,8888888888888888;0,6956521739130435;rce;duracao
6;20-95;7;13;7;1;0,7142857142857143;0,5;0,875;0,6363636363636364;rce;duracao
7;20-95;7;13;7;1;0,7142857142857143;0,5;0,875;0,6363636363636364;rce;duracao
8;20-95;6;13;8;1;0,6785714285714286;0,42857142857142855;0,8571428571428571;0,5714285714285714;rce;duracao
